id,user_id,grade,cost_band,sector,is_active,created_at,updated_at
1,43990917,0,£0,utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
2,43990917,1,£100-200,utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
3,43990917,2,£150-300,utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
4,43990917,3,"£2,000-8,000",utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
5,43990917,4,"£8,000-25,000",utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
6,43990917,5,"£25,000+",utilities,true,Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:33 GMT+0000 (Coordinated Universal Time)
7,43990917,0,£0,adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
8,43990917,1,£200-400,adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
9,43990917,2,£400-800,adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
10,43990917,3,"£3,000-12,000",adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
11,43990917,4,"£12,000-40,000",adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
12,43990917,5,"£40,000+",adoption,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
13,43990917,0,£0,highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
14,43990917,1,£300-600,highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
15,43990917,2,"£600-1,200",highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
16,43990917,3,"£5,000-15,000",highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
17,43990917,4,"£15,000-50,000",highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
18,43990917,5,"£50,000+",highways,true,Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time),Sat Jun 28 2025 13:10:38 GMT+0000 (Coordinated Universal Time)
